## Station data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Country = 'India',,,,,,,
Station = 'IN03113457',,,,,,,
Description = 'Weather data for WOFOST simulation',,,,,,,
Source = 'Projected',,,,,,,
Contact = 'User',,,,,,,
Longitude = 74.792,,,,,,,
Latitude = 29.758,,,,,,,
Elevation = 216,,,,,,,
AngstromA = 0.29,,,,,,,
AngstromB = 0.49,,,,,,,
HasSunshine = False,,,,,,,
## Daily weather observations,,,,,,,
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
2014-11-22 00:00:00,8522.6256,5.816000000000031,17.761000000000024,99.4351,2.68809,8.30240928e-05,0
2014-11-23 00:00:00,8353.6704,3.1920000000000073,16.363,99.4351,3.22076,6.76811808e-07,0
2014-11-24 00:00:00,8390.96064,5.578000000000031,17.560000000000002,99.3667,2.92005,0.302331744,0
2014-11-25 00:00:00,2497.4006400000003,8.347000000000037,12.192000000000007,99.3758,2.50349,6.367766400000001,0
2014-11-26 00:00:00,4058.8300800000006,9.19300000000004,13.16500000000002,99.2012,2.00316,2.05671744,0
2014-11-27 00:00:00,5025.291840000001,11.009000000000015,14.41500000000002,99.43769999999999,1.62193,0.0577884672,0
2014-11-28 00:00:00,2116.16928,9.225000000000023,12.095000000000027,99.4192,0.984574,0.21855312000000002,0
2014-11-29 00:00:00,5869.86912,3.9920000000000186,14.848000000000013,99.637,0.783599,0.021599135999999998,0
2014-11-30 00:00:00,11520.144000000002,2.816000000000031,18.071000000000026,99.61260000000001,1.73516,0.0241602048,0
2014-12-01 00:00:00,12683.1744,2.0610000000000355,20.30600000000004,99.5128,1.66031,5.3771903999999996e-08,0
2014-12-02 00:00:00,12958.8768,4.7450000000000045,21.49000000000001,99.602,2.3492,4.5594662400000005e-06,0
2014-12-03 00:00:00,12713.6736,4.7830000000000155,19.766999999999996,99.5278,2.97621,3.04769952e-06,0
2014-12-04 00:00:00,15541.372800000001,1.594000000000051,19.21700000000004,99.511,3.03323,0,0
2014-12-05 00:00:00,15433.2,0.6560000000000059,20.040999999999997,99.51050000000001,2.45079,0,0
2014-12-06 00:00:00,15673.9104,-0.17799999999999727,19.841000000000008,99.618,1.92626,0,0
2014-12-07 00:00:00,14821.2288,-0.21599999999995134,20.081000000000017,99.4267,1.32785,0,0
2014-12-08 00:00:00,14914.2816,0.9980000000000473,20.858000000000004,99.4016,1.62437,0,0
2014-12-09 00:00:00,14774.6592,1.8780000000000427,21.245000000000005,99.32010000000001,1.40313,1.7028489599999999e-07,0
2014-12-10 00:00:00,12285.3888,3.8010000000000446,19.476,99.458,2.44471,6.3456047999999995e-06,0
2014-12-11 00:00:00,14400.979200000002,3.7700000000000387,18.927999999999997,99.76050000000001,3.11588,1.12040928e-07,0
2014-12-12 00:00:00,16435.612800000003,1.1340000000000146,19.604000000000042,99.6992,3.12069,0,0
2014-12-13 00:00:00,15728.256000000001,1.0480000000000018,20.39500000000004,99.6129,2.30524,1.2049776e-09,0
2014-12-14 00:00:00,14045.0112,2.1340000000000146,21.63100000000003,99.6791,1.95706,2.41735968e-05,0
2014-12-15 00:00:00,15033.945600000001,5.011000000000024,20.76800000000003,99.86460000000001,3.90697,0,0
2014-12-16 00:00:00,16782.6816,5.711000000000013,21.508000000000038,99.73230000000001,4.60144,0,0
2014-12-17 00:00:00,17544.2976,4.857000000000028,23.76800000000003,99.6995,4.26799,0,0
2014-12-18 00:00:00,17492.112,1.455000000000041,24.074000000000012,99.73989999999999,2.34708,0,0
2014-12-19 00:00:00,17313.9552,0.5450000000000159,23.685000000000002,99.54639999999999,1.94029,0,0
2014-12-20 00:00:00,16502.745600000002,5.871000000000038,25.234000000000037,99.1189,2.83358,1.7184096e-23,0
2014-12-21 00:00:00,14776.041600000002,6.442000000000007,24.02600000000001,99.2213,4.055,0,0
2014-12-22 00:00:00,16703.020800000002,6.459000000000003,24.66300000000001,99.48660000000001,3.56964,0,0
2014-12-23 00:00:00,17670.096,7.357000000000028,26.260000000000048,99.4434,3.56691,0,0
2014-12-24 00:00:00,17640.4608,5.471000000000004,26.41300000000001,99.27560000000001,1.87569,0,0
2014-12-25 00:00:00,16188.854400000002,5.426000000000045,25.601,98.9594,1.322,8.51065056e-24,0
2014-12-26 00:00:00,16626.384000000002,6.038000000000011,26.043000000000006,98.67280000000001,1.97263,0,0
2014-12-27 00:00:00,15894.9216,5.948000000000036,26.196000000000026,98.5272,3.26708,0,0
2014-12-28 00:00:00,18453.9168,5.847000000000037,22.476,99.0294,3.496,1.27475424e-09,0
2014-12-29 00:00:00,18641.664,4.775000000000034,23.016999999999996,99.3426,3.38119,0,0
2014-12-30 00:00:00,18710.265600000002,3.709000000000003,24.668000000000006,99.3172,3.0379,0,0
2014-12-31 00:00:00,17869.4208,4.02800000000002,26.375,98.8239,2.84192,2.97400032e-24,0
2015-01-01 00:00:00,18341.510400000003,11.102000000000032,28.647000000000048,98.1606,5.6985,2.7803952e-13,0
2015-01-02 00:00:00,15544.3104,15.16500000000002,26.501000000000033,98.4495,4.0751,0,0
2015-01-03 00:00:00,17376.0768,11.372000000000014,26.278999999999996,98.976,2.99713,0,0
2015-01-04 00:00:00,19173.1104,8.259000000000015,25.635000000000048,99.16510000000001,1.77477,0,0
2015-01-05 00:00:00,19317.398400000002,5.177999999999997,24.674000000000035,98.67460000000001,1.93151,0,0
2015-01-06 00:00:00,18650.6496,8.838999999999999,24,98.17160000000001,6.18823,7.4903184e-09,0
